id,title,main_image,description,admin_id,status
c8bcd0d0-6ffd-46ed-91b5-dbcde0d7cd19,"Medhurst, Lindgren and Abbott",,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,00a354bc-4668-40ae-b68e-9652721ef776,enabled
8069d052-df53-4576-bfa5-9b805e469cdf,Kirlin Group,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",6791734b-5dbc-4b02-acd8-63f874127c4b,enabled
d279f500-01de-43c9-99ea-9e4f4a6e8cab,Muller Group,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,0a1260c7-7e61-4787-8bc8-61f32baa0342,enabled
60180551-036d-49b0-8694-7b8f12dad049,"Gusikowski, Gleichner and Dach",,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",b08950b4-e868-4d5a-a2d0-9e7c0dff7aa1,enabled
62e58c34-797a-4fd5-b235-9b275c3fd636,"Howell, Heller and Shanahan",,"Fusce consequat. Nulla nisl. Nunc nisl.Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",66774f7e-50a1-4152-b8f5-530668ac103c,enabled
1bde3cfc-a785-4404-a318-c9a293a9e1e5,"Stiedemann, Kozey and Volkman",,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",ebaed7e6-5912-4a1c-a5cb-fccd8c4c2849,enabled
01792fd9-07d1-45b0-963d-f3029fa8633a,"Botsford, Goodwin and Ferry",,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",03ce2ddd-b4d2-4f03-bc6c-ca0fed6094b7,enabled
da315abd-9d20-46ed-952e-87553ef1cfa1,"O'Connell, Yost and Howe",,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",411af4ff-46b9-4dbf-8f3d-0a29fb9617fa,enabled
543dd421-e0a6-4122-8c04-a705a35e0262,McKenzie-Baumbach,,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,fe395afe-135b-48a5-9a9f-0ff39da73332,enabled
558141ba-addb-4283-b135-895ef3dc4c63,"Brakus, Labadie and Gorczany",,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,bc950291-c290-4e51-ace5-e9978d07f9f6,enabled
fc483879-2330-4cb3-a8b7-5bbe0daf461c,Schmeler and Sons,,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.Phasellus in felis. Donec semper sapien a libero. Nam dui.",4ec1052a-1b55-432a-af0c-5c59c34f4824,enabled
7152def2-6a99-4416-9f04-a0c04a6fba1e,Thompson and Sons,,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1496ea6d-0ccb-43b4-bfa7-3f5b7160e287,enabled
039c8446-578f-454a-810e-58a5451564ec,Balistreri-Howell,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",73c1c2d7-0f29-420f-9f23-d6c4f89b30a9,enabled
5ba19c49-9b26-4f26-9b8c-786ec7ec0502,Hauck LLC,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",6b2e8689-55d1-4ee8-963d-62fc14cfafc1,enabled
17e1c9a3-3818-4f81-9e3c-204fde45b114,Nolan-McGlynn,,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",d7ca3c8c-6763-42d1-8b73-d9e1996c423e,enabled
bd32e454-19fb-4b0b-a54c-abd846699409,Eichmann Group,,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,7212ddbe-add1-43d0-8b76-4e3f69601eee,enabled
3780d50f-632c-45dd-b8b5-5aaaf9891c4f,"Ruecker, Gleichner and Treutel",,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,d36578cf-1bc6-496e-959d-a5942c8d7f6d,enabled
c068a27e-c925-416e-8fc6-dbe78b6a798d,Dickens-Yost,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0d879cc7-af3b-4f24-be96-f9576a299ca6,enabled
8f440c24-1e6b-433e-878a-a8688da7363c,"Roob, Kihn and Daugherty",,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,ea6c12c6-7530-472c-8588-6b1508811200,enabled
89517171-f96d-4a76-a2a8-5823927783d0,Bailey Group,,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",5c92f7f3-d8ca-4723-8f9f-ac8b1891eca2,enabled
0af5cea4-62e6-49e5-8997-69902219838b,Cummerata-Kiehn,,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",49b1d38f-875b-4f3c-8e54-7c6ea4a77273,enabled
c25c5094-9b30-45ae-8775-eb05ef0e92f7,Willms-Bruen,,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",bd887560-5b14-4488-9e01-e6e258911f50,enabled
67c8f35c-71b7-461a-bb86-d537dd32e07a,Goldner and Sons,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4630713a-433f-4a5e-bf9c-4c17bb8d1d04,enabled
e980fc0f-d5b5-4e82-b7a6-b85e61c6b7f8,Kub-Stehr,,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,d3a61be9-e4c6-41a6-8e4c-4bf19545e8d0,enabled
