title,address,workingTime,site,type,phone,addInfo,accepts,price,latutide,long
Kazakhstan Waste Recycling,"ST. Valikhanov , 70",mon - fri 10:00-17:30  ,kagazy.kz,recycling,'+77272458133',No additional info available,"cardboard, wastepaper, polyethylene, aluminum cans, glassware, tetra pak, plastic", contractual,"43,2560864","76,9517978"
Kazakhstan Waste Recycling,Md. Duman 2,mon - fri 10:00-17:30  ,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,2859666","77,0060658"
Kazakhstan Waste Recycling,St. Makataeva 50,mon - fri 10:00-17:30  ,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,264916","76,955172"
IB. Nurzhanova,St.Bogenbai Batir 266,mon - fri 08:00-19:00  ,none,recycling,+77014117933',No additional info available,"glassware, plastic, metal, polyethylene, aluminum cans", contractual,"43,2520407","76,930628"
Kazakhstan Waste Recycling,"Md. 8, 57",mon - fri 10:00-17:30,kagazy.kz,recycling,'+77272458133',No additional info available,"cardboard, wastepaper, aluminum cans, glassware,", contractual,"43,2271452","76,867772"
Kazakhstan Waste Recycling,Md. Zhaskanat 1/29,mon - fri 10:00-17:30  ,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper,  glassware, plastic", contractual,"43,31178","76,974607"
Kazakhstan Waste Recycling,Md. Kokzhidek 35,mon - fri 10:00-17:30 ,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"wastepaper, aluminum cans, glassware, plastic", contractual,"43,3567329","76,9224159"
Kazakhstan Waste Recycling,Md. Ainabulak 3,mon - fri 10:00-17:30 ,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,3230627","76,9206777"
Kazakhstan Waste Recycling,"Md. Kulager, St. Omarova 35",mon - fri 10:00-17:30,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,3048317","76,922532"
IB.Amir,St. Riskulova 76,mon - fri 09:00-18:00,none,recycling,+77081219112',Accepts aluminum cans of beer and energy drinks,aluminum cans, contractual,"43,2820634","76,9178576"
Kazakhstan Waste Recycling,St. Magistral 13Б,mon - fri 10:00-17:30,kagazy.kz,recycling,+77272458133',Only clear glass is accepted,"wastepaper, aluminum cans, ", contractual,"43,2521144","76,9102401"
Kazakhstan Waste Recycling,"Dis. Raimbek, St.Yemtsova 2",mon - fri 10:00-17:30,kagazy.kz,recycling,'+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,2613514","76,859262"
Kazakhstan Waste Recycling,Saina 16,mon - fri 10:00-17:30,kagazy.kz,recycling,+77017215531',No additional info available,"cardboard, wastepaper, polyethylene, aluminum cans, glassware, plastic", contractual,"43,1956157","76,884752"
Kazakhstan Waste Recycling,Md. Aksai-3 1a/1,mon - fri 10:00-17:30,kagazy.kz,recycling,'+77017215572',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,2363688","76,8295698"
Kazakhstan Waste Recycling,Md. Algabas 6,mon - fri 10:00-17:30,kagazy.kz,recycling,+77272458133',Only clear glass is accepted,"cardboard, wastepaper, aluminum cans, glassware, plastic", contractual,"43,2570449","76,8246295"
Almavtor,"Md. Vobnik -2, 5",mon - fri 09:00-18:00,none,recycling,+77712687664',No additional info available,"cardboard, wastepaper, aluminum cans","20, 20, 50","43,3585501","76,8674824"
IB. EcoDomStroy,"St. Zhurgeneva 2, 1",mon - fri 09:00-18:00,ecodomstroy.kz,recycling,+77011276818',No additional info available,wastepaper,40,"43,2665908","76,9555048"
Kazakhstan Waste Recycling,St. Zholdasbek 32,mon - fri 10:00-17:30,kagazy.kz,recycling,+77017215530',No additional info available,"cardboard, wastepaper, plastic","10,15","43,2319306","76,8475912"
Kazakhstan Waste Recycling,St. Temiryazev 81,mon - fri 10:00-17:30,kagazy.kz,recycling,+77017215573',No additional info available,"cardboard, wastepaper, plastic","10,15","43,2259591","76,9039362"
IB. Smagulova,St. Kazibaeva 26,mon - fri 08:00-19:00 ,none,recycling,+77017645879',No additional info available,"cardboard, wastepaper, polyethylene,  plastic", contractual,"43,278897","76,9183676"
IB. Segizbaev,St. Burunday 91,mon - fri 09:00-18:00,none,recycling,+77771310625',No additional info available,"cardboard, wastepaper, polyethylene,  textile", contractual,"43,339885","76,9327551"
LLP Karina Trading,St. Kazibaeva 264 a,mon - fri 09:00-18:00,karina.kz,recycling,+77273778185',No additional info available,wastepaper,35,"43,303863","76,920604"
Kazakhstan Waste Recycling,St. Voroshilova 15A,mon - fri 09:00-18:00,kagazy.kz,recycling,+77272458133',No additional info available,"cardboard, wastepaper",20,"43,2200692","76,8173138"
Glass Trade,St. Alpamis 6,mon - fri 10:00-18:00,glasstrade.kz,recycling,+77014395490',No additional info available,glassware,10,"43,2989032","76,8603318"
LLP Birlesu,St. Kazibaev 7,mon - fri 08:00-16:00 ,birlesu.kz,recycling,+77272336390',No additional info available,textile,25,"43,2776601","76,9216399"
LLP PromTechnoResursKz,Dis. Seyfullina 284,mon - fri 09:00-17:30,tresurs.kz,recycling,+77776695555',No additional info available,"computer equipment, appliances",25,"43,2890475","76,9403967"
LLP Intermed Group,St. Panfilova 54/30,mon - fri 09:00-18:00,none,utilization,+77272799470',No additional info available,medical waste, contractual,"43,2645535","76,9440108"
LLP EcoProm,Dis. Abay 34,mon - fri 09:00-18:00,ecoprom.kz,utilization,+77772443897',No additional info available,medical waste,0,"43,2410432","76,9314495"
Zhanarka,"Md. 4, 2Б",mon - fri 09:00-18:00,ecoprom.kz,utilization,+77772443897',No additional info available,medical waste,0,"43,2221373","76,8724876"
LLP Olzhas,St. Shepkina 39,mon - fri 09:00-18:00,none,utilization,+77272652526',No additional info available,medical waste, contractual,"43,203406","76,8781765"
LLP Sinap Plus,Dis. Riskulova 51a,mon - fri 09:00-16:00,none,utilization,+77273843912',No additional info available,"lamps, mercury","80, 80-265","43,2919824","76,9324791"
MashinStroy,Dis. Abay 36a,mon - fri 09:00-18:00,none,utilization,+77272606420',No additional info available,lamps,0,"43,2409252","76,9304107"
Elimay,St. Satpaev 50,mon - fri 09:00-17:00,none,utilization,+77272459580',No additional info available,"lamps, mercury",0,"43,2349918","76,9002642"
LLP Eco Almaty,"Md. 9, 9a",mon - fri 09:00-18:00,none,utilization,+77272424020',No additional info available,"lamps, mercury",0,"43,2143042","76,8662517"
Zhanarka,St. Isatay 23,mon - fri 10:00-22:00,none,utilization,+77053294954',No additional info available,"lamps, mercury",20,"43,2784639","76,8490328"
Technodom Koktem,St. Valikhanova 170,mon - fri 10:00-22:00,technodom.kz,utilization,+7727272757',Free utilization,"wires, batteries, computer equipment",0,"43,2404454","76,9551692"
Planeta Electroniki,St. Dostik,mon - fri 09:00-18:00,none,utilization,+77272917922',No additional info available,batteries,0,"43,2391211","76,827362"
Technodom Ramstore,St. Nazarbaev 226,mon - fri 10:00-22:00,technodom.kz,utilization,+77273563075',No additional info available,"wires, batteries",0,"43,2384028","76,949691"
Technodom Prominad,Dis. Abay 44a,mon - fri 10:00-22:00,technodom.kz,utilization,+77273563075',Free utilization,"wires, batteries, computer equipment",0,"43,239786","76,926674"
Ecoline,St. Kabanbay batir 122,mon - fri 10:00-22:00,none,utilization,+77012323501',No additional info available,"wires, batteries, computer equipment, appliances",0,"43,2490287","76,9398871"
Technodom MegaPark,Dis. Seyfullina 483,mon - fri 10:00-22:00,technodom.kz,utilization,'+77273563075',No additional info available,"wires, batteries, computer equipment",0,"43,263635","76,9403599"
Planeta Electroniki,St. Zhandosova 70,mon - fri 09:00-18:00,none,utilization,+77272751700',No additional info available,"wires, batteries, computer equipment, appliances",0,"43,2086827","76,8645717"
LLP Kama,St. Teplichnaya 12Б,mon - fri 09:00-19:00,none,utilization,+77717312759',No additional info available,tyre,0,"43,2295639","76,8374995"
LLP Kama,"Md. Aksai-3A, 79A",mon - fri 09:00-19:00,none,utilization,+77272307756',No additional info available,tyre,0,"43,236032","76,8266861"
LLP Kama,St. Gete 276a,mon - fri 09:00-19:00,none,utilization,+77273440065',No additional info available,tyre,0,"43,3347862","76,9696048"
Ksk Orbita -1 ,"Md. Orbita -1, 10",mon - fri 00:00-00:00,none,utilization,+77272656069',No additional info available,mercury,0,"43,2002644","76,8821849"
