name,saves,img
Aluminum cans,energy,Alumin.svg
Wastepaper,both,surface1.svg
Cardboard,both,package.svg
Glassware,none,glass.svg
Metal,none,anvil.svg
Plastic,energy,beverage.svg
Polyethylene,none,Page-1.svg
Textile,none,casual-t-shirt.svg
Tetra Pak,none,milk-box.svg
Batteries,none,battery.svg
Styrofoam,none,box.svg
Computer equipment,none,digital.svg
Appliances,none,washing-machine.svg
Tyre,none,tire.svg
Appliances,none,washing-machine.svg
Lamps,none,lamps.svg
"Wires, cables",none,wire.svg
Office equipment,none,office.svg
Mercury,none,mercury.svg
Medical waste,none,medical.svg
Computer equipment,none,digital.svg
batteries,none,battery.svg
